Id,Age,math,science,malay
11920100,26,35,49,48
11920106,71,13,96,63
11920113,96,31,36,55
11920121,83,33,74,28
11920121,1,88,60,48
11920126,33,15,48,10
11920127,40,97,95,80
11920136,34,97,5,42
11920136,5,12,35,63
11920140,53,26,74,73
11920140,8,99,13,1
11920146,14,86,69,68
11920150,4,37,12,59
11920151,93,83,64,78
11920152,66,54,96,68
11920161,17,26,33,90
11920168,7,90,9,36
11920177,99,58,97,36
11920182,61,14,68,6
11920185,17,61,94,88
11920187,94,42,44,20
11920191,69,66,45,0
11920191,75,75,52,67
11920192,57,4,69,18
11920193,79,87,69,51
11920198,86,3,97,55
11920206,38,72,7,49
11920206,39,92,41,47
11920209,92,38,93,32
11920211,52,43,50,39
11920214,4,65,19,92
11920223,93,65,84,80
11920229,91,50,25,30
11920232,89,59,56,77
11920239,23,28,17,47
11920247,60,14,76,60
11920250,18,7,41,7
11920250,58,23,61,30
11920256,76,51,26,29
11920262,92,99,50,72
11920265,67,0,26,94
11920267,69,60,79,12
11920271,35,64,1,50
11920273,78,1,43,65
11920277,61,71,17,36
11920279,76,60,39,67
11920288,59,56,94,60
11920289,55,29,67,90
11920292,44,40,99,41
11920298,87,38,71,71
11920306,51,84,54,81
11920309,1,65,94,31
11920318,10,20,69,55
11920318,9,11,5,12
11920325,13,82,7,55
11920325,75,55,36,98
11920333,62,64,31,59
11920334,81,80,97,64
11920342,92,75,54,10
11920347,88,58,28,32
11920353,89,97,63,70
11920362,62,46,0,45
11920369,8,14,62,28
11920376,39,53,84,74
11920379,51,21,42,70
11920382,45,19,26,8
11920383,53,93,7,19
11920389,97,66,40,98
11920393,15,7,12,45
11920394,67,94,26,24
11920398,53,25,96,26
11920402,20,52,52,48
11920403,46,83,49,65
11920403,94,42,48,6
11920411,35,43,57,78
11920418,21,97,19,21
11920425,80,78,63,58
11920433,63,78,51,95
11920433,83,37,21,35
11920437,60,22,53,34
11920444,96,31,29,41
11920453,29,76,63,55
11920459,67,62,22,28
11920467,26,99,23,72
11920468,78,45,96,81
11920476,52,23,85,81
11920481,74,13,17,24
11920486,26,32,85,51
11920495,74,80,56,91
11920501,65,61,9,16
11920506,35,60,28,50
11920513,79,81,35,20
11920513,3,77,22,57
11920518,57,42,44,50
11920521,17,53,94,56
11920528,82,47,5,33
11920535,9,98,40,31
11920535,63,81,30,74
11920543,62,89,3,3
11920546,83,20,29,8
